Time	zeta=0.000035	zeta=0.002	zeta=0.004	zeta=0.015	zeta=0.023	zeta=0.052	zeta=0.08	zeta=0.31
1.000000e+00	5.000004e-01	4.999999e-01	5.000001e-01	5.000003e-01	5.000010e-01	5.000001e-01	5.000003e-01	4.999998e-01
2.000000e+00	3.487779e-02	3.495237e-02	3.503683e-02	3.549654e-02	3.584247e-02	3.706158e-02	3.829279e-02	4.853828e-02
3.000000e+00	2.658257e-01	2.658839e-01	2.659490e-01	2.662918e-01	2.665365e-01	2.673113e-01	2.679592e-01	2.687827e-01
4.000000e+00	4.051235e-01	4.044010e-01	4.035826e-01	3.991380e-01	3.958033e-01	3.841299e-01	3.724680e-01	2.816210e-01
5.000000e+00	4.637252e-01	4.617108e-01	4.594360e-01	4.472115e-01	4.381808e-01	4.074989e-01	3.782454e-01	1.928468e-01
6.000000e+00	4.862511e-01	4.827409e-01	4.787887e-01	4.577640e-01	4.424657e-01	3.919873e-01	3.460511e-01	1.091072e-01
7.000000e+00	4.946559e-01	4.896053e-01	4.839361e-01	4.540953e-01	4.327233e-01	3.643259e-01	3.050753e-01	5.682988e-02
8.000000e+00	4.977467e-01	4.911785e-01	4.838293e-01	4.455611e-01	4.185959e-01	3.349511e-01	2.660774e-01	2.956426e-02
9.000000e+00	4.988679e-01	4.908304e-01	4.818659e-01	4.356914e-01	4.036845e-01	3.074531e-01	2.321562e-01	1.653785e-02
1.000000e+01	4.992635e-01	4.898125e-01	4.793048e-01	4.257625e-01	3.892493e-01	2.827985e-01	2.035996e-01	1.052621e-02
1.100000e+01	4.993925e-01	4.885862e-01	4.766096e-01	4.162261e-01	3.757048e-01	2.610641e-01	1.798625e-01	7.787852e-03
1.200000e+01	4.994240e-01	4.873196e-01	4.739456e-01	4.072135e-01	3.631328e-01	2.419994e-01	1.601798e-01	6.570475e-03
1.300000e+01	4.994204e-01	4.860739e-01	4.713720e-01	3.987538e-01	3.515176e-01	2.253038e-01	1.438516e-01	6.072653e-03
1.400000e+01	4.994044e-01	4.848707e-01	4.689083e-01	3.908357e-01	3.408061e-01	2.106799e-01	1.302760e-01	5.913136e-03
1.500000e+01	4.993845e-01	4.837160e-01	4.665567e-01	3.834278e-01	3.309264e-01	1.978469e-01	1.189455e-01	5.902742e-03
1.600000e+01	4.993638e-01	4.826121e-01	4.643177e-01	3.765054e-01	3.218203e-01	1.865760e-01	1.094625e-01	5.947221e-03
1.700000e+01	4.993433e-01	4.815577e-01	4.621868e-01	3.700345e-01	3.134215e-01	1.766554e-01	1.014936e-01	6.002180e-03
1.800000e+01	4.993235e-01	4.805524e-01	4.601617e-01	3.639912e-01	3.056793e-01	1.679156e-01	9.477924e-02	6.049552e-03
1.900000e+01	4.993045e-01	4.795941e-01	4.582376e-01	3.583455e-01	2.985372e-01	1.601999e-01	8.910077e-02	6.084482e-03
2.000000e+01	4.992864e-01	4.786818e-01	4.564113e-01	3.530744e-01	2.919508e-01	1.533813e-01	8.428620e-02	6.107819e-03
2.100000e+01	4.992690e-01	4.778144e-01	4.546799e-01	3.481565e-01	2.858788e-01	1.473497e-01	8.019451e-02	6.122307e-03
2.200000e+01	4.992525e-01	4.769898e-01	4.530388e-01	3.435669e-01	2.802776e-01	1.420044e-01	7.670657e-02	6.130798e-03
2.300000e+01	4.992368e-01	4.762074e-01	4.514858e-01	3.392883e-01	2.751146e-01	1.372653e-01	7.372884e-02	6.135556e-03
2.400000e+01	4.992219e-01	4.754651e-01	4.500165e-01	3.352991e-01	2.703530e-01	1.330570e-01	7.118020e-02	6.138174e-03
2.500000e+01	4.992077e-01	4.747620e-01	4.486283e-01	3.315827e-01	2.659641e-01	1.293180e-01	6.899597e-02	6.139659e-03
