# Re = 0.25
# zeta*	<Ux>/U0
0.00000000e+00	6.11307808e-01
1.00100261e-02	6.11307808e-01
4.00401045e-02	6.11307808e-01
2.00200522e-01	6.11307808e-01
1.00100261e+00	6.11307808e-01
2.00200522e+00	4.08592026e-01
4.00401045e+00	8.60843656e-03
1.00100261e+01	2.73700845e-03
2.00200522e+01	1.38326731e-03
4.00401045e+01	7.40232625e-04
8.00802090e+01	4.20793730e-04
1.60160418e+02	2.61511367e-04
3.20320836e+02	1.81906865e-04
4.80481254e+02	1.56745435e-04
6.40641672e+02	1.49862109e-04
9.60962508e+02	1.29811213e-04
1.92192502e+03	1.42893200e-04

# Re = 0.37
# zeta*	<Ux>/U0
0.00000000e+00	6.19568725e-01
6.76353116e-03	6.19568725e-01
2.70541247e-02	6.19568725e-01
1.35270623e-01	6.19568725e-01
6.76353116e-01	6.19568725e-01
1.35270623e+00	3.76619306e-01
2.70541247e+00	1.44677558e-02
6.76353116e+00	2.87145321e-03
1.35270623e+01	1.39787096e-03
2.70541247e+01	7.41788982e-04
5.41082493e+01	4.20976296e-04
1.08216499e+02	2.61643872e-04
2.16432997e+02	1.83355168e-04
3.24649496e+02	1.57263064e-04
4.32865994e+02	1.44578427e-04
6.49298992e+02	1.35458376e-04
1.29859798e+03	1.15995657e-04

# Re = 0.50
# zeta*	<Ux>/U0
0.00000000e+00	6.41873199e-01
5.00501306e-03	6.41873199e-01
2.00200522e-02	6.41873199e-01
1.00100261e-01	6.41873199e-01
5.00501306e-01	6.41873199e-01
1.00100261e+00	5.50177028e-01
2.00200522e+00	4.27915466e-01
5.00501306e+00	3.14823521e-03
1.00100261e+01	1.42832069e-03
2.00200522e+01	7.44481214e-04
4.00401045e+01	4.21680126e-04
8.00802090e+01	2.61572498e-04
1.60160418e+02	1.81958826e-04
2.40240627e+02	1.55840700e-04
3.20320836e+02	1.60150420e-04
4.80481254e+02	1.54578349e-04
9.60962508e+02	1.33549360e-04

# Re = 0.75
# zeta*	<Ux>/U0
0.00000000e+00	6.31684735e-01
3.33667537e-03	6.31684735e-01
1.33467015e-02	6.31684735e-01
6.67335075e-02	6.31684735e-01
3.33667537e-01	6.31684735e-01
6.67335075e-01	6.31684735e-01
1.33467015e+00	3.87161612e-01
3.33667537e+00	4.06071400e-03
6.67335075e+00	1.51685844e-03
1.33467015e+01	7.52581043e-04
2.66934030e+01	4.22006157e-04
5.33868060e+01	2.62291804e-04
1.06773612e+02	1.82799374e-04
1.60160418e+02	1.57000147e-04
2.13547224e+02	1.50903370e-04
3.20320836e+02	1.41904919e-04
6.40641672e+02	1.31716456e-04

# Re = 1.00
# zeta*	<Ux>/U0
0.00000000e+00	6.41873199e-01
2.50250653e-03	6.41873199e-01
1.00100261e-02	6.41873199e-01
5.00501306e-02	6.41873199e-01
2.50250653e-01	6.41873199e-01
5.00501306e-01	6.26590504e-01
1.00100261e+00	5.34894332e-01
2.50250653e+00	1.98598624e-02
5.00501306e+00	1.56922714e-03
1.00100261e+01	7.66075663e-04
2.00200522e+01	4.24186488e-04
4.00401045e+01	2.62006527e-04
8.00802090e+01	1.84446848e-04
1.20120313e+02	1.66397985e-04
1.60160418e+02	1.61522806e-04
2.40240627e+02	1.29905966e-04
4.80481254e+02	1.19721578e-04

# Re = 1.25
# zeta*	<Ux>/U0
0.00000000e+00	6.35760121e-01
2.00200522e-03	6.35760121e-01
8.00802090e-03	6.35760121e-01
4.00401045e-02	6.35760121e-01
2.00200522e-01	6.35760121e-01
4.00401045e-01	6.35760121e-01
8.00802090e-01	5.74629340e-01
2.00200522e+00	9.15262277e-02
4.00401045e+00	1.80225768e-03
8.00802090e+00	7.80713428e-04
1.60160418e+01	4.24565499e-04
3.20320836e+01	2.62275502e-04
6.40641672e+01	1.83624639e-04
9.60962508e+01	1.56421442e-04
1.28128334e+02	1.43632883e-04
1.92192502e+02	1.49843770e-04
3.84385003e+02	1.15601974e-04

