# Re = 0.25
# zeta*	<|theta|>
0.00000000e+00	2.83100000e-01
1.00100261e-02	5.00700000e-01
4.00401045e-02	5.92400000e-01
2.00200522e-01	4.71000000e-01
1.00100261e+00	2.92380000e+00
2.00200522e+00	3.48840000e+00
4.00401045e+00	1.72366000e+01
1.00100261e+01	2.97454000e+01
2.00200522e+01	3.73509000e+01
4.00401045e+01	3.88994000e+01
8.00802090e+01	4.14996000e+01
1.60160418e+02	4.29807000e+01
3.20320836e+02	4.35094000e+01
4.80481254e+02	4.24039000e+01
6.40641672e+02	4.31147000e+01
9.60962508e+02	4.14267000e+01
1.92192502e+03	3.31592000e+01

# Re = 0.37
# zeta*	<|theta|>
0.00000000e+00	3.28000000e-01
6.76353116e-03	3.28400000e-01
2.70541247e-02	3.29400000e-01
1.35270623e-01	3.49300000e-01
6.76353116e-01	3.78200000e-01
1.35270623e+00	1.03496000e+01
2.70541247e+00	1.28624000e+01
6.76353116e+00	2.50180000e+01
1.35270623e+01	3.34337000e+01
2.70541247e+01	3.75191000e+01
5.41082493e+01	4.05674000e+01
1.08216499e+02	4.19686000e+01
2.16432997e+02	4.38233000e+01
3.24649496e+02	4.36256000e+01
4.32865994e+02	4.48509000e+01
6.49298992e+02	4.34293000e+01
1.29859798e+03	2.99513000e+01

# Re = 0.50
# zeta*	<|theta|>
0.00000000e+00	2.13600000e-01
5.00501306e-03	2.13800000e-01
2.00200522e-02	2.53500000e-01
1.00100261e-01	4.88300000e-01
5.00501306e-01	2.42600000e-01
1.00100261e+00	4.74790000e+00
2.00200522e+00	4.00910000e+00
5.00501306e+00	2.00591000e+01
1.00100261e+01	2.83480000e+01
2.00200522e+01	3.57564000e+01
4.00401045e+01	3.92074000e+01
8.00802090e+01	4.24731000e+01
1.60160418e+02	4.28485000e+01
2.40240627e+02	4.32613000e+01
3.20320836e+02	4.33906000e+01
4.80481254e+02	4.24523000e+01
9.60962508e+02	3.57297000e+01

# Re = 0.75
# zeta*	<|theta|>
0.00000000e+00	2.51700000e-01
3.33667537e-03	2.51800000e-01
1.33467015e-02	1.25200000e-01
6.67335075e-02	2.05700000e-01
3.33667537e-01	2.67300000e-01
6.67335075e-01	1.85270000e+00
1.33467015e+00	9.80770000e+00
3.33667537e+00	1.58968000e+01
6.67335075e+00	2.24875000e+01
1.33467015e+01	3.21345000e+01
2.66934030e+01	3.86414000e+01
5.33868060e+01	4.00809000e+01
1.06773612e+02	4.16983000e+01
1.60160418e+02	4.37741000e+01
2.13547224e+02	4.14258000e+01
3.20320836e+02	4.16763000e+01
6.40641672e+02	3.64775000e+01

# Re = 1.00
# zeta*	<|theta|>
0.00000000e+00	8.83000000e-02
2.50250653e-03	1.91000000e-01
1.00100261e-02	2.21000000e-01
5.00501306e-02	1.02500000e-01
2.50250653e-01	1.20500000e-01
5.00501306e-01	2.29400000e-01
1.00100261e+00	4.39570000e+00
2.50250653e+00	9.06290000e+00
5.00501306e+00	2.36537000e+01
1.00100261e+01	2.83155000e+01
2.00200522e+01	3.40038000e+01
4.00401045e+01	3.96857000e+01
8.00802090e+01	4.15011000e+01
1.20120313e+02	4.20200000e+01
1.60160418e+02	4.29903000e+01
2.40240627e+02	4.30614000e+01
4.80481254e+02	3.86474000e+01

# Re = 1.25
# zeta*	<|theta|>
0.00000000e+00	1.19600000e-01
2.00200522e-03	1.19600000e-01
8.00802090e-03	1.19700000e-01
4.00401045e-02	1.39100000e-01
2.00200522e-01	1.22500000e-01
4.00401045e-01	2.38700000e-01
8.00802090e-01	3.75650000e+00
2.00200522e+00	1.71088000e+01
4.00401045e+00	1.89592000e+01
8.00802090e+00	2.65027000e+01
1.60160418e+01	3.62524000e+01
3.20320836e+01	3.68523000e+01
6.40641672e+01	4.03153000e+01
9.60962508e+01	4.25679000e+01
1.28128334e+02	4.27714000e+01
1.92192502e+02	4.23998000e+01
3.84385003e+02	4.04532000e+01

