# Re = 0.25
# zeta*	< S >
0.00000000e+00	4.99700000e-01
1.00100261e-02	4.99400000e-01
4.00401045e-02	4.99200000e-01
2.00200522e-01	4.99400000e-01
1.00100261e+00	4.97200000e-01
2.00200522e+00	4.87100000e-01
4.00401045e+00	1.34500000e-01
1.00100261e+01	3.57000000e-02
2.00200522e+01	1.63000000e-02
4.00401045e+01	8.10000000e-03
8.00802090e+01	4.00000000e-03
1.60160418e+02	2.00000000e-03
3.20320836e+02	9.99790000e-04
4.80481254e+02	6.71400000e-04
6.40641672e+02	5.06420000e-04
9.60962508e+02	3.43860000e-04
1.92192502e+03	2.10180000e-04

# Re = 0.37
# zeta*	< S >
0.00000000e+00	4.99700000e-01
6.76353116e-03	4.99700000e-01
2.70541247e-02	4.99700000e-01
1.35270623e-01	4.99700000e-01
6.76353116e-01	4.99700000e-01
1.35270623e+00	4.15200000e-01
2.70541247e+00	2.58500000e-01
6.76353116e+00	5.91000000e-02
1.35270623e+01	2.50000000e-02
2.70541247e+01	1.20000000e-02
5.41082493e+01	5.90000000e-03
1.08216499e+02	3.00000000e-03
2.16432997e+02	1.50000000e-03
3.24649496e+02	9.86010000e-04
4.32865994e+02	7.42140000e-04
6.49298992e+02	4.96840000e-04
1.29859798e+03	2.82220000e-04

# Re = 0.50
# zeta*	< S >
0.00000000e+00	4.99900000e-01
5.00501306e-03	4.99900000e-01
2.00200522e-02	4.99800000e-01
1.00100261e-01	4.99800000e-01
5.00501306e-01	4.99800000e-01
1.00100261e+00	4.82600000e-01
2.00200522e+00	4.82000000e-01
5.00501306e+00	9.51000000e-02
1.00100261e+01	3.68000000e-02
2.00200522e+01	1.65000000e-02
4.00401045e+01	8.10000000e-03
8.00802090e+01	4.00000000e-03
1.60160418e+02	2.00000000e-03
2.40240627e+02	1.30000000e-03
3.20320836e+02	9.99680000e-04
4.80481254e+02	6.72040000e-04
9.60962508e+02	3.54830000e-04

# Re = 0.75
# zeta*	< S >
0.00000000e+00	4.99900000e-01
3.33667537e-03	4.99900000e-01
1.33467015e-02	5.00000000e-01
6.67335075e-02	4.99900000e-01
3.33667537e-01	4.99900000e-01
6.67335075e-01	4.97500000e-01
1.33467015e+00	4.26000000e-01
3.33667537e+00	1.74800000e-01
6.67335075e+00	6.51000000e-02
1.33467015e+01	2.58000000e-02
2.66934030e+01	1.21000000e-02
5.33868060e+01	6.00000000e-03
1.06773612e+02	3.00000000e-03
1.60160418e+02	2.00000000e-03
2.13547224e+02	1.50000000e-03
3.20320836e+02	1.00000000e-03
6.40641672e+02	5.24060000e-04

# Re = 1.00
# zeta*	< S >
0.00000000e+00	5.00000000e-01
2.50250653e-03	4.99900000e-01
1.00100261e-02	4.99900000e-01
5.00501306e-02	5.00000000e-01
2.50250653e-01	5.00000000e-01
5.00501306e-01	4.99900000e-01
1.00100261e+00	4.84300000e-01
2.50250653e+00	3.89100000e-01
5.00501306e+00	8.34000000e-02
1.00100261e+01	3.69000000e-02
2.00200522e+01	1.68000000e-02
4.00401045e+01	8.00000000e-03
8.00802090e+01	4.00000000e-03
1.20120313e+02	2.70000000e-03
1.60160418e+02	2.00000000e-03
2.40240627e+02	1.30000000e-03
4.80481254e+02	6.78750000e-04

# Re = 1.25
# zeta*	< S >
0.00000000e+00	5.00000000e-01
2.00200522e-03	5.00000000e-01
8.00802090e-03	5.00000000e-01
4.00401045e-02	5.00000000e-01
2.00200522e-01	5.00000000e-01
4.00401045e-01	4.99000000e-01
8.00802090e-01	4.87400000e-01
2.00200522e+00	2.66000000e-01
4.00401045e+00	1.31000000e-01
8.00802090e+00	4.81000000e-02
1.60160418e+01	2.05000000e-02
3.20320836e+01	1.02000000e-02
6.40641672e+01	5.00000000e-03
9.60962508e+01	3.30000000e-03
1.28128334e+02	2.50000000e-03
1.92192502e+02	1.70000000e-03
3.84385003e+02	8.40770000e-04

