zeta	Defect
4.28260000e-05	0.00000000e+00
8.56520000e-05	0.00000000e+00
1.71304000e-04	0.00000000e+00
2.56956000e-04	0.00000000e+00
4.28260000e-04	0.00000000e+00
6.42390000e-04	0.00000000e+00
8.56520000e-04	0.00000000e+00
1.07065000e-03	1.09200000e+01
1.28478000e-03	1.28400000e+01
1.71304000e-03	1.60500000e+01
2.14130000e-03	1.23900000e+01
2.56956000e-03	1.01800000e+01
3.42608000e-03	1.12300000e+01
4.28260000e-03	6.47000000e+00
8.56520000e-03	0.00000000e+00
2.14130000e-02	0.00000000e+00
4.28260000e-02	0.00000000e+00
8.56520000e-02	0.00000000e+00
2.56956000e-01	0.00000000e+00
