zeta	Uy
4.28260000e-05	4.70813905e-11
8.56520000e-05	2.38350053e-10
1.71304000e-04	1.06227598e-09
2.56956000e-04	2.47472056e-09
4.28260000e-04	1.81208948e-07
6.42390000e-04	7.08343940e-08
8.56520000e-04	4.71567283e-04
1.07065000e-03	4.94353985e-03
1.28478000e-03	4.05943103e-03
1.71304000e-03	2.26701135e-03
2.14130000e-03	1.00988304e-03
2.56956000e-03	6.03215531e-04
3.42608000e-03	3.30054996e-04
4.28260000e-03	2.38526421e-04
8.56520000e-03	5.73716000e-06
2.14130000e-02	6.13053217e-06
4.28260000e-02	1.15902840e-05
8.56520000e-02	1.56904778e-05
2.56956000e-01	1.22794878e-05
